id,match_id,minute,type,description,player_id,player_name,team_side
131,43,"90+3",goal,"Ismaïla Sarr 进球",,"Ismaïla Sarr",away
132,44,"36",goal,"Nizar Al-Rashdan 进球",,"Nizar Al-Rashdan",home
133,44,"69",goal,"Nadhir Benbouali 进球",,"Nadhir Benbouali",away
134,44,"82",goal,"Amine Gouiri 进球",,"Amine Gouiri",away
135,45,"6",goal,"Cristiano Ronaldo 进球",,"Cristiano Ronaldo",home
136,45,"39",goal,"Cristiano Ronaldo 进球",,"Cristiano Ronaldo",home
137,45,"17",goal,"Nuno Mendes 进球",,"Nuno Mendes",home
138,45,"60",goal,"Abduvohid Nematov 进球",,"Abduvohid Nematov",home
139,45,"87",goal,"Rafael Leão 进球",,"Rafael Leão",home
140,47,"54",goal,"Ante Budimir 进球",,"Ante Budimir",away
141,48,"76",goal,"Daniel Muñoz 进球",,"Daniel Muñoz",home
142,49,"46",goal,"Rubén Vargas 进球",,"Rubén Vargas",home
143,49,"57",goal,"Johan Manzambi 进球",,"Johan Manzambi",home
144,49,"76",goal,"Promise David 进球",,"Promise David",away
145,50,"29",goal,"Kerim Alajbegovic 进球",,"Kerim Alajbegovic",home
146,50,"34",goal,"Mahmoud Abunada 进球",,"Mahmoud Abunada",home
147,50,"80",goal,"Ermin Mahmic 进球",,"Ermin Mahmic",home
148,50,"42",goal,"Hassan Al-Haydos 进球",,"Hassan Al-Haydos",away
149,51,"7",goal,"Vinícius Júnior 进球",,"Vinícius Júnior",away
150,51,"45+3",goal,"Vinícius Júnior 进球",,"Vinícius Júnior",away
151,51,"60",goal,"Matheus Cunha 进球",,"Matheus Cunha",away
152,52,"39",goal,"Achraf Hakimi 进球",,"Achraf Hakimi",home
153,52,"45+1",goal,"Ismael Saibari 进球",,"Ismael Saibari",home
154,52,"78",goal,"Soufiane Rahimi 进球",,"Soufiane Rahimi",home
155,52,"89",goal,"Gessime Yassine 进球",,"Gessime Yassine",home
156,52,"10",goal,"Yassine Bounou 乌龙球",,"Yassine Bounou",away
157,52,"43",goal,"Wilson Isidor 进球",,"Wilson Isidor",away
158,53,"55",goal,"Mateo Chávez 进球",,"Mateo Chávez",away
159,53,"61",goal,"Julián Quiñones 进球",,"Julián Quiñones",away
160,53,"90+4",goal,"Álvaro Fidalgo 进球",,"Álvaro Fidalgo",away
161,54,"63",goal,"Thapelo Maseko 进球",,"Thapelo Maseko",home
162,55,"7",goal,"Nicolas Pépé 进球",,"Nicolas Pépé",away
163,55,"64",goal,"Nicolas Pépé 进球",,"Nicolas Pépé",away
164,56,"9",goal,"Nilson Angulo 进球",,"Nilson Angulo",home
165,56,"77",goal,"Gonzalo Plata 进球",,"Gonzalo Plata",home
166,56,"2",goal,"Leroy Sané 进球",,"Leroy Sané",away
167,57,"56",goal,"Daizen Maeda 进球",,"Daizen Maeda",home
168,57,"62",goal,"Anthony Elanga 进球",,"Anthony Elanga",away
169,58,"54",goal,"Hazem Mastouri 进球",,"Hazem Mastouri",home
170,58,"3",goal,"Ellyes Skhiri 乌龙球",,"Ellyes Skhiri",away
171,58,"7",goal,"Brian Brobbey 进球",,"Brian Brobbey",away
172,58,"62",goal,"Jan Paul van Hecke 进球",,"Jan Paul van Hecke",away
173,59,"10",goal,"Arda Güler 进球",,"Arda Güler",home
174,59,"31",goal,"Baris Alper Yilmaz 进球",,"Baris Alper Yilmaz",home
175,59,"90+8",goal,"Kaan Ayhan 进球",,"Kaan Ayhan",home
176,59,"3",goal,"Auston Trusty 进球",,"Auston Trusty",away
177,59,"49",goal,"Sebastian Berhalter 进球",,"Sebastian Berhalter",away
178,61,"21",goal,"Thelo Aasgaard 进球",,"Thelo Aasgaard",home
179,61,"7",goal,"Ousmane Dembélé 进球",,"Ousmane Dembélé",away
180,61,"20",goal,"Ousmane Dembélé 进球",,"Ousmane Dembélé",away
181,61,"32",goal,"Ousmane Dembélé 进球",,"Ousmane Dembélé",away
182,61,"90+4",goal,"Désiré Doué 进球",,"Désiré Doué",away
183,62,"4",goal,"Habib Diarra 进球",,"Habib Diarra",home
184,62,"56",goal,"Ismaïla Sarr 进球",,"Ismaïla Sarr",home
185,62,"59",goal,"Pape Gueye 进球",,"Pape Gueye",home
186,62,"71",goal,"Pape Gueye 进球",,"Pape Gueye",home
187,62,"82",goal,"Iliman Ndiaye 进球",,"Iliman Ndiaye",home
188,63,"42",goal,"Álex Baena 进球",,"Álex Baena",away
189,65,"5",goal,"Mahmoud Saber 进球",,"Mahmoud Saber",home
190,65,"14",goal,"Ramin Rezaeian 进球",,"Ramin Rezaeian",away
191,66,"84",goal,"Elijah Just 进球",,"Elijah Just",home
192,66,"28",goal,"Leandro Trossard 进球",,"Leandro Trossard",away
193,66,"50",goal,"Leandro Trossard 进球",,"Leandro Trossard",away
194,66,"66",goal,"Kevin De Bruyne 进球",,"Kevin De Bruyne",away
195,66,"86",goal,"Romelu Lukaku 进球",,"Romelu Lukaku",away
196,66,"90+4",goal,"Alexis Saelemaekers 进球",,"Alexis Saelemaekers",away
197,67,"62",goal,"Jude Bellingham 进球",,"Jude Bellingham",away
198,67,"67",goal,"Harry Kane 进球",,"Harry Kane",away
199,68,"31",goal,"Petar Sucic 进球",,"Petar Sucic",home
200,68,"83",goal,"Nikola Vlasic 进球",,"Nikola Vlasic",home
201,68,"73",goal,"Derrick Luckassen 进球",,"Derrick Luckassen",away
202,70,"68",goal,"Yoane Wissa 点球破门",,"Yoane Wissa",home
203,70,"78",goal,"Fiston Mayele 进球",,"Fiston Mayele",home
